Ea0,Ea1,Ea2,Ea3,bttpres,cont15,cont25,erro_s,fim_cont,RST,,en1,en2,en3,en4,atv_cron,showait,es_des,clk_des,RST_OP,ckLProg,rstLProg,showErro,Lpronto
0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,1,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,1,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,1,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,0,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,0,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,1,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,1,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,1,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,1,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,1,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,1,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,0,0,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,0,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,0,0,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,0,1,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,0,1,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,0,1,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,0,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,0,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,1,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,1,0,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,1,1,0,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,1,1,1,,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,0,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,0,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,0,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,1,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,1,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,1,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,1,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,1,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,1,1,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,1,1,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,1,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,1,0,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,1,0,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,1,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,1,1,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,1,1,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,1,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,0,0,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,0,0,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,0,0,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,0,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,0,1,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,0,1,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,0,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,0,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,0,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,0,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,1,0,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,1,1,0,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,1,1,1,,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,0,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,0,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,0,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,0,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,1,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,1,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,1,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,1,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,1,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,1,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,1,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,1,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,1,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,0,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,0,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,0,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,0,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,1,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,1,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,1,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,1,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,0,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,0,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,0,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,1,0,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,1,1,0,,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,1,1,1,,0,0,0,0,0,1,0,1,0,1,0,0,0
